"comments","less-button","more-button","hidden","comment","hidden 2","yt-core-attributed-string 2","yt-core-attributed-string 3"
"Well i don't disagree. 
Although i personally try not to break those laws anymore. 
But i do and or have.","Show less","Read more","Like","","Dislike","Reply",""
"WOKE NONSENSE even CHRISTIANS","Show less","Read more","Like","","Dislike","Reply",""
"It's about time !","Show less","Read more","Like","1","Dislike","Reply","1 reply"
"Anyone who is a Christian trusting Jesus to have put their sins on the cross with him knows that the 10 Commandments were given so that mankind would know that they could not follow them and that they needed a savior! Good deal! These were impossible to a common man to do anyway!","Show less","Read more","Like","","Dislike","Reply",""
"I'm confused as to why large media conglomerates haven't asked these people directly: If it's such a hot-button issue with people, why not put it to a vote in November?
I'd absolutely love to see their responses","Show less","Read more","Like","3","Dislike","Reply","2 replies"
"That is INSANE! Only argument I could understand would be private schools - but Jewish/ Christian/ Muslim private schools should not have any issue; and in reality, our Legal system is summarized by the 10 Commandments.

From our founding, the 10 Commandments were taught in every school (so the argument that it is against the Constitution is false, and the establishment of religion clause is that the FEDERAL Govmt shall not force a National Religion, not States-> though this wouldn’t fit under making a State Religion, either).","Show less","Read more","Like","","Dislike","Reply","1 reply"
"I'm surprised that the That real court is allowed to do that , since you enforced the bible laws. Over six hundred and fifty laws and organisms of moses plus to take amendments. The united states entirely court system is based on mosaic law. But my small town judged to the supreme court and all of those laws are of god.. It's a fact including the right to sue.. Is the federal court enforces Bible law?And how can you say they can't display it in a courtroom. Or a schoolroom. Only one of the ten commandments is not a u s law. Thou shalt not Commit false witness against a neighbor perjury. You're not allowed to perjure yourself in a federal court. Only one of the ten commandments is not enforced thou shalt not have any other guide before you. That's the only ten commandment that's not enforced by law.. Then again, all that gay stuff is the other part of the Bible following  says disobedience to god is sin . Sin Disobedience against gods Will and law is called evil. That's right simple Disobedience against god Is what The bible considers evil. You forced the other half of the bible in your classrooms Therefore you can put the good part of the bible and force it in the classroom as well. I don't know what lawyer argued this case not An intelligent one.","Show less","Read more","Like","","Dislike","Reply",""
"How about Taco man obay the 10 Commandments","Show less","Read more","Like","","Dislike","Reply",""
"The","Show less","Read more","Like","","Dislike","Reply",""
"Right on woo woo","Show less","Read more","Like","2","Dislike","Reply","1 reply"
"Other things need to come down and or out of public schools as well.  
  But i think homeschooling at home or with a small groups of parents and teachers who believe and think alike is the best option.  
   Government run schools haven't really changed since indigenous kids were forced to be indoctrinated in that system.  
     The type of indoctrination changes from time to time though.","Show less","Read more","Like","","Dislike","Reply","2 replies"
"Make it illegal to display the pride flag as well. Same basis.","Show less","Read more","Like","","Dislike","Reply",""
"Excellent!","Show less","Read more","Like","1","Dislike","Reply","1 reply"
"People get all upset about this, and then have no problem letting a dude change in front of their daughter's. Stop whining about separation of church and state! How about separation of the freak from your daughter? Ever thought about getting up on your high horses over that one?","Show less","Read more","Like","","Dislike","Reply",""
"the bill of right says freedom of religion, not freedom from religion","Show less","Read more","Like","1","Dislike","Reply","2 replies"
"Maybe in Hebrew class","Show less","Read more","Like","","Dislike","Reply",""
"i can tell that what he's doing is pretty clear, he is doing whatever he can to boost the narrative of christianity JUST so he can make sure IF heaven is real that he gets there","Show less","Read more","Like","1","Dislike","Reply",""
"If you don’t want to see it don’t look at it. I don’t want to see most of you so I don’t look at you.","Show less","Read more","Like","","Dislike","Reply","1 reply"
"So having the Ten Commandments in a classroom is wrong because it ""enforces religion on children"" and it apparently violates the First Amendment, but putting pride flags on the walls or having pride-related things in the classroom isn't enforcing sexuality on children?","Show less","Read more","Like","","Dislike","Reply",""
"Religion and sexual alternative lifestyles/PRIDE should not be a part of government schools.","Show less","Read more","Like","","Dislike","Reply",""
"If a bill passes.  Then its the law of the land and no judge can change the law. They will lose on appeal.","Show less","Read more","Like","","Dislike","Reply","1 reply"
"A judge may temporarily block that kids would learn morals like, no lying, cheating, stealing, or partake in immoral acts. But he will definitely have to pay the price and stand before God and explain why he is against such a lifestyle 
righteous","Show less","Read more","Like","","Dislike","Reply","1 reply"
"The state can ignore the feds.","Show less","Read more","Like","","Dislike","Reply","2 replies"
"Let me guess???!!!  A democrat judge !!!  Put the ten commandments back in the schools.  That's what's wrong with our country.  We took GOD out of everything.!!!!!","Show less","Read more","Like","2","Dislike","Reply","3 replies"
"","Show less","Read more","Like","","Dislike","Reply",""
"IT WILL HAPPEN IN JESUS NAME   ️","Show less","Read more","Like","1","Dislike","Reply","3 replies"
"I think it’s an awesome requirement.","Show less","Read more","Like","","Dislike","Reply","2 replies"
"The 10 commandments are the foundation of America 🇺🇸","Show less","Read more","Like","1","Dislike","Reply","6 replies"
"If you don't like GOD in your life, move somewhere else !!!!!","Show less","Read more","Like","2","Dislike","Reply","5 replies"
"Good. But is our flag in each classroom?
Do the kids pledge allegiance anymore?

The 10 commandments is  one of the basis of our laws along with Roman law and English common law. That's where it should be taught. (Plus our natural freedoms and Constitution are influenced by native customs.)","Show less","Read more","Like","","Dislike","Reply",""
"Move out of Texas if you dont want the 10 commandments shown.  In God we Trust!","Show less","Read more","Like","","Dislike","Reply","1 reply"
"EVERY KNEE WILL BOW AND EVERY MOUTH WILL CONFESS THAT CHRIST JESUS IS LORD ️️ don’t beg GOD when you don’t make it into the kingdom","Show less","Read more","Like","1","Dislike","Reply","3 replies"
"Reasoning behind it is that children should believe in Disney Land , Santa Claus, magic and fairytales but never God","Show less","Read more","Like","1","Dislike","Reply","4 replies"
"I think we have to keep any religion out of all public sectors , but are the ten commandments a bad set of rules .  I don't think so , seems to me these simple rules are a common sense foundation for a good life .  The gender ideology teachings are a much more damaging issue , IMO to teach our children , and that still is implemented in some places .","Show less","Read more","Like","1","Dislike","Reply","3 replies"
"I think this should be mandatory. It’s plain and simple.  Consciousness. Should take care of the rest.","Show less","Read more","Like","","Dislike","Reply","6 replies"
"ONLY OUR CREATOR GOD KNOWS OUR FINAL DESTINATION ON JUDGEMENT DAY FOLKS  ONE HUNDRED PERCENT IT'S COMING!!!!!!!!!!!!!","Show less","Read more","Like","","Dislike","Reply","1 reply"
"F. these courts. & we wonder why the country is lost.","Show less","Read more","Like","3","Dislike","Reply","4 replies"
"What's the problem with the ten commandments being displayed in public schools this is another woke atheist judge and he needs to be removed from the bench immediately","Show less","Read more","Like","2","Dislike","Reply","1 reply"
"","","","KXAN","Now playing","KXAN","",""
"","","","FOX 7 Austin","Now playing","FOX 7 Austin","",""
"","","","James Talarico","Now playing","James Talarico","",""
"","","","James Talarico","Now playing","James Talarico","",""
"","","","James Talarico","Now playing","James Talarico","",""
"","","","Texas Impact","Now playing","Texas Impact","",""
"","","","FOX 7 Austin","Now playing","FOX 7 Austin","",""
"","","","Forbes Breaking News","2:21","Verified","",""
"","","","CBS19","Now playing","CBS19","",""
"","","","Texas Impact","Now playing","Texas Impact","",""
"","","","James Talarico","Now playing","James Talarico","",""
"","","","KABB FOX San Antonio","Now playing","KABB FOX San Antonio","",""
"","","","FOX Soul","Now playing","FOX Soul","",""
"","","","FOX 4 Dallas-Fort Worth","Now playing","FOX 4 Dallas-Fort Worth","",""
"","","","NBC News","Now playing","NBC News","",""
"","","","USA TODAY","Now playing","USA TODAY","",""
"","","","Brian Tyler Cohen","Now playing","Brian Tyler Cohen","",""
"","","","KXAN","Now playing","KXAN","",""
"","","","NewsNation","Now playing","NewsNation","",""
"","","","Heartland Signal","Now playing","Heartland Signal","",""
"","","","CNN","Now playing","CNN","",""
